PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40059817,Repurposing Secukinumab and Dapagliflozin as Candidate Therapies to Mitigate the Renal Toxicity of Sunitinib in Rats Through Suppressing IL-17-Mediated Pyroptosis and Promoting Autophagy.,2025Mar,Rania A Elrashidy; Hoda E Mohamad; Yasmin K Mahmoud,"Department of Biochemistry, Faculty of Pharmacy, Zagazig University, Zagazig, Egypt.; Department of Biochemistry, Faculty of Pharmacy, Zagazig University, Zagazig, Egypt.; Department of Biochemistry, Faculty of Pharmacy, Zagazig University, Zagazig, Egypt.",N/A
40059813,Dimethyl Fumarate Attenuates Cyclophosphamide-Induced Bladder Damage and Enhances Cytotoxic Activity Against SH-SY5Y Cells.,2025Mar,Elif Nur Barut; Seçkin Engin; Elif Öz; Rengin Reis,"Department of Pharmacology, Faculty of Pharmacy, Karadeniz Technical University, Trabzon, Turkiye.; Department of Pharmacology, Faculty of Pharmacy, Karadeniz Technical University, Trabzon, Turkiye.; Department of Pharmaceutical Toxicology, Acıbadem Mehmet Ali Aydınlar University Faculty of Pharmacy, İstanbul, Turkiye.; Department of Pharmaceutical Toxicology, Acıbadem Mehmet Ali Aydınlar University Faculty of Pharmacy, İstanbul, Turkiye.",N/A
40059798,Copper(II) Cyclopeptides with High ROS-Mediated Cytotoxicity.,2025Mar10,José Brea; María Isabel Loza,"Innopharma Drug Screening and Pharmacogenomics Platform. Center for Research in Molecular Medicine and Chronic Diseases (CiMUS). Department of Pharmacology, Pharmacy and Pharmaceutical Technology, Universidade de Santiago de Compostela, 15782 Santiago de Compostela, Spain.; Innopharma Drug Screening and Pharmacogenomics Platform. Center for Research in Molecular Medicine and Chronic Diseases (CiMUS). Department of Pharmacology, Pharmacy and Pharmaceutical Technology, Universidade de Santiago de Compostela, 15782 Santiago de Compostela, Spain.",N/A
40059794,Emerging Trends in Modulation of Transient Receptor Potential Canonical 6 Channels as Therapeutic Targets.,2025Mar,Ayush Sharma; Snehal Patel; Mithun Singh Rajput,"Department of Pharmacology, Institute of Pharmacy, Nirma University, Ahmedabad, India.; Department of Pharmacology, Institute of Pharmacy, Nirma University, Ahmedabad, India.; Department of Pharmacology, Institute of Pharmacy, Nirma University, Ahmedabad, India.",N/A
40059687,[Clinical features and prognosis of splenic marginal zone lymphoma with POD24].,2025Jan14,L Wang; Q Shi; W L Zhao; L Wang,"Shanghai Institute of Hematology, State Key Laboratory of Genomics and Disease, National Translational Medicine Research Center, Department of Hematology, Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai 200025, China Department of Hematology, General Hospital of Taiyuan Iron and Steel (Group) Company Limited (The Sixth Hospital of Shanxi Medical University, The Sixth Clinical Medical College of Shanxi Medical University), Taiyuan 030000, China.; Shanghai Institute of Hematology, State Key Laboratory of Genomics and Disease, National Translational Medicine Research Center, Department of Hematology, Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai 200025, China.; Shanghai Institute of Hematology, State Key Laboratory of Genomics and Disease, National Translational Medicine Research Center, Department of Hematology, Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai 200025, China.; Shanghai Institute of Hematology, State Key Laboratory of Genomics and Disease, National Translational Medicine Research Center, Department of Hematology, Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai 200025, China.",N/A
40059680,[Clinical characteristics and prognostic analysis of newly diagnosed acute myeloid leukemia with critical illness].,2025Jan14,P Q Liang; M Gao; Y Xie; B Q Li; Q Li; Z Y Liu; D Wang; H Y Qiu; S N Chen; D P Wu; J H Fu,"National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.; National Clinical Research Center for Hematologic Diseases, the First Affiliated Hospital of Soochow University, Department of Hematology, Intensive Care Unit, Jiangsu Institute of Hematology, Suzhou 215006, China.",N/A
40059676,[The state of the art: diagnosis and therapeutic interventions of clonal hematopoiesis of indeterminate potential and clonal cytopenias of undetermined significance].,2025Jan14,Z J Xiao,"State Key Laboratory of Experimental Hematology, National Clinical Research Center for Blood Diseases, Haihe Laboratory of Cell Ecosystem, Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, Tianjin 300020, China Tianjin Institutes of Health Science, Tianjin 301600, China.",N/A
40059651,"Design, synthesis of novel thiazole-thiomorpholine derivatives and evaluation of their anticancer activity via in vitro and in silico studies.",2025Mar,Sam Dawbaa; Asaf Evrim Evren; Demokrat Nuha; Halide Edip Temel; Gülşen Akalin Çiftçi; Leyla Yurttaş,"Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Anadolu University, Eskişehir, Turkey.; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Anadolu University, Eskişehir, Turkey.; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Anadolu University, Eskişehir, Turkey.; Department of Biohemistry, Faculty of Pharmacy, Anadolu University, Eskişehir, Turkey.; Department of Biohemistry, Faculty of Pharmacy, Anadolu University, Eskişehir, Turkey.; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Anadolu University, Eskişehir, Turkey.",N/A
40059625,Vitamin D promotes anticancer effects of low-concentration cisplatin-treated non-small cell lung cancer cells via inhibiting the JAK2/STAT3 and TGF-β/SMAD4 pathways.,2025Mar,Marwa Sharaky,"Pharmacology Unit, Cancer Biology Department, National Cancer Institute, Cairo University, Cairo, Egypt.",N/A
40059621,Antiretroviral Therapy within Two Years of HIV Acquisition is Associated with Fewer Viral Blips: A Retrospective Analysis of Over 20 Years of Data from the U.S. Military HIV Natural History Study.,2025Mar10,Joseph M Yabes; Derek T Larson; John H Powers; Robert J O'Connell,"Infectious Disease Clinical Research Program, Department of Preventive Medicine and Biostatistics, Uniformed Services University of the Health Sciences, Bethesda, MD, USA.; Infectious Disease Clinical Research Program, Department of Preventive Medicine and Biostatistics, Uniformed Services University of the Health Sciences, Bethesda, MD, USA.; Clinical Research Directorate, Frederick National Laboratory for Cancer Research, Frederick, MD, USA.; Infectious Disease Clinical Research Program, Department of Preventive Medicine and Biostatistics, Uniformed Services University of the Health Sciences, Bethesda, MD, USA.",N/A
